V1,V2
plus ad commerci experi tacki,1
realli aggress blast obnoxi entertain guest face amp littl recours,0
realli big bad thing,0
serious pay flight seat play realli bad thing fli va,0
yes near everi time fli vx ¡°ear worm¡± won¡¯t go away,1
well ¡­ now d,1
amaz arriv hour earli good,1
lt pretti graphic much better minim iconographi d,1
great deal alreadi think nd trip amp even gone st trip yet p,1
fli fabul seduct sky u take stress away travel httptcoahlxhhkiyn,1
thank,1
sfopdx schedul still mia,0
excit first cross countri flight lax mco heard noth great thing virgin america daystogo,1
flew nyc sfo last week fulli sit seat due two larg gentleman either side help,0
fli,1
know amaz awesom bosfll pleas want fli,1
first fare may three time carrier seat avail select,0
love graphic httptcoutgrrwaaa,1
love hipster innov feel good brand,1
guy mess seat reserv seat friend guy gave seat away want free internet,0
status match program appli three week call email respons,0
happen ur vegan food option least say ur site know abl eat anyth next hrs fail,0
amaz get cold air vent vx noair worstflightev roast sfotobo,0
hi just bked cool birthday trip add elev caus enter middl name flight book problem,0
help left expens headphon flight iad lax today seat a one answer lampf number lax,0
await return phone call just prefer use onlin selfservic option,0
great news america start flight hawaii end year httptcorpzyf via,1
moodlight way fli best experi ever cool calm moodlitmonday,1
done done best airlin around hand,1
chat support work site httptcovhpgtdwpk,0
view downtown los angel hollywood sign beyond rain mountain httptcodwnfibtr,1
hey first time flyer next week excit hard time get flight ad elev account help,0
elevategold good reason rock,1
wow just blew mind,1
juli andrew way though impress,1
hi excit lgagtdal deal tri book sinc last week amp page never load thx,0
know need spotifi stat guiltypleasur,1
ladi gaga amaz,1
call week ago ad flight elev still shown help,0
love three realli beat classic,1
heyyyi guyyyi tri get hour can someon call pleas,0
hi virgin hold minut earlier flight la nyc tonight earlier pm,0
congrat win award best deal airlin us httptcokjiljaebv,1
everyth fine lost bag,0
airlin awesom lax loft need step game dirti tabl floor httptcohyvrfhjht,0
worri great ride new plane great crew airlin like,1
awesom flew yall sat morn way can correct bill,1
go custom servic anyway speak human asap thank,0
supp biz travel like custom servic like neverflyvirginforbusi,0
appli member inflight crew teamim interest flightattend dreampath g,1
best whenev begrudg use airlin delay late flight,0
interest fli cancel flight next four flight plannedneverflyvirginforbusi,0
disappoint experi share everi busi travel meet neverflyvirgin,0
¡¯m troubl ad flight wife book elev account help httptcopxhqoksr,0
site back,0
like tv interest video just disappoint cancel flightl flight flight went jfk saturday,0
just land lax hour late flight bag check busi travel friend nomorevirgin,0
websit btw new websit great user experi time anoth redesign,0
check add bag websit work tri desktop mobil httptcoavyqdmpiy,0
let scan passeng leav plane told someon remov bag st class bin uncomfort,0
phone number find call flight reserv,0
anyon anyth today websit useless one answer phone,0
must travel miss flight late flight check bag miss morn appoint lost busi sfolax,0
direct flight fllgtsfo unexpect layov vega fuel yet peep next bought vega flight sneaki,0
late flight bag check just lost busi miss flight apt three peopl flight exp,0
amaz custom servic raeann sf best customerservic virginamerica fli,1
call servic line hung awesom sarcasm,0
site trip tri check get plain text version reluct enter card info,0
getaway deal may oneway lot cool citi httptcotzzjhuibch cheapflight farecompar,1
getaway deal may oneway lot cool citi httptcobxiygt cheapflight farecompar,1
great week,1
come back phl alreadi need take us horribl cold pleasecomeback httptcoglxfwpnqh,1
concern fli plane need delay due tech stop,0
best airlin flown easi chang reservationhelp repres amp comfort fli experi,1
anoth rep kick butt naelah repres team beauti thank,1
beauti frontend design right now cool still book ticket bc backend secur,1
love team run gate e las tonight wait delay flight kept thing entertain,1
